co2;temp;hum;label
29944.76;31.74;72.78;1
34181.9;31.74;71.43;1
33587.37;31.71;76.18;1
34255.58;31.78;77.28;1
36549.37;31.78;77.4;1
35702.88;31.81;79.94;1
35974.92;31.85;80.2;1
33856.09;31.87;79.65;1
36213.79;31.87;76.8;1
30803.15;31.82;78.88;1
30179.04;31.9;78.36;1
31885.8;31.87;77.7;1
27738.5;31.87;79.71;1
29256.06;31.9;76.05;1
29070.16;31.88;76.91;1
27308.18;31.92;78.56;1
28474.01;31.9;77.31;1
25517.84;31.9;78.47;1
29176.34;31.91;76.89;1
26476.7;31.94;77.92;1
30366.32;31.97;76.63;1
32118.78;31.98;78.1;1
34533.8;31.95;78.25;1
36212.85;32.0;79.7;1
37101.65;32.0;79.8;1
37545.73;32.04;79.33;1
40000.0;31.97;78.91;1
38089.6;31.81;74.55;1
30518.23;31.78;74.15;1
33879.66;31.84;75.9;1
29033.69;31.91;78.14;1
36662.9;31.9;78.92;1
31059.6;31.92;80.95;1
37080.3;31.9;78.13;1
37732.02;31.97;80.7;1
39521.57;31.98;82.13;1
40000.0;31.97;82.09;1
40000.0;32.04;82.43;1
